origen_id,origen_zona,destino_id,destino_zona,distancia_geodesica_km,distancia_manhattan_aprox_km,distancia_manhattan_exacta_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min
24,Bloomingdale,141,Lenox Hill West,3.92,4.384,4.421,10.6,13.3,8.8
24,Bloomingdale,142,Lincoln Square East,3.426,4.51,4.479,10.7,13.4,9.0
24,Bloomingdale,143,Lincoln Square West,3.441,4.771,4.745,11.4,14.2,9.5
24,Bloomingdale,144,Little Italy/NoLiTa,9.387,11.672,11.581,27.8,34.7,23.2
24,Bloomingdale,148,Lower East Side,9.467,11.377,11.28,27.1,33.8,22.6
24,Bloomingdale,151,Manhattan Valley,0.5,0.673,0.669,1.6,2.0,1.3
24,Bloomingdale,152,Manhattanville,2.033,2.771,2.754,6.6,8.3,5.5
24,Bloomingdale,153,Marble Hill,9.44,12.897,12.817,30.8,38.4,25.6
24,Bloomingdale,158,Meatpacking/West Village West,8.291,11.128,11.059,26.5,33.2,22.1
24,Bloomingdale,161,Midtown Center,4.988,5.916,5.864,14.1,17.6,11.7
24,Bloomingdale,162,Midtown East,5.062,5.611,5.555,13.3,16.7,11.1
24,Bloomingdale,163,Midtown North,4.293,5.196,5.151,12.4,15.5,10.3
24,Bloomingdale,164,Midtown South,6.158,7.599,7.538,18.1,22.6,15.1
24,Bloomingdale,166,Morningside Heights,0.889,1.147,1.138,2.7,3.4,2.3
24,Bloomingdale,170,Murray Hill,6.121,7.125,7.06,16.9,21.2,14.1
24,Bloomingdale,186,Penn Station/Madison Sq West,6.359,8.227,8.168,19.6,24.5,16.3
24,Bloomingdale,194,Randalls Island,3.659,4.693,4.64,11.1,13.9,9.3
24,Bloomingdale,202,Roosevelt Island,4.639,5.768,5.796,13.9,17.4,11.6
24,Bloomingdale,209,Seaport,10.808,13.557,13.454,32.3,40.4,26.9
24,Bloomingdale,211,SoHo,9.19,11.732,11.646,28.0,34.9,23.3
24,Bloomingdale,224,Stuy Town/Peter Cooper Village,7.846,8.732,8.645,20.7,25.9,17.3
24,Bloomingdale,229,Sutton Place/Turtle Bay North,5.024,5.05,5.109,12.3,15.3,10.2
24,Bloomingdale,230,Times Sq/Theatre District,4.941,6.27,6.222,14.9,18.7,12.4
24,Bloomingdale,231,TriBeCa/Civic Center,10.012,12.95,12.859,30.9,38.6,25.7
24,Bloomingdale,232,Two Bridges/Seward Park,9.8,11.175,11.069,26.6,33.2,22.1
24,Bloomingdale,233,UN/Turtle Bay South,5.796,6.2,6.134,14.7,18.4,12.3
24,Bloomingdale,234,Union Sq,7.162,8.964,8.895,21.3,26.7,17.8
24,Bloomingdale,236,Upper East Side North,2.496,3.11,3.125,7.5,9.4,6.2
24,Bloomingdale,237,Upper East Side South,3.704,3.716,3.733,9.0,11.2,7.5
24,Bloomingdale,238,Upper West Side North,1.307,1.783,1.772,4.3,5.3,3.5
24,Bloomingdale,239,Upper West Side South,2.287,3.117,3.098,7.4,9.3,6.2
24,Bloomingdale,243,Washington Heights North,6.714,8.895,8.833,21.2,26.5,17.7
24,Bloomingdale,244,Washington Heights South,4.858,6.458,6.413,15.4,19.2,12.8
24,Bloomingdale,246,West Chelsea/Hudson Yards,6.307,8.677,8.629,20.7,25.9,17.3
24,Bloomingdale,249,West Village,8.123,10.659,10.587,25.4,31.8,21.2
24,Bloomingdale,261,World Trade Center,11.063,14.345,14.246,34.2,42.7,28.5
24,Bloomingdale,262,Yorkville East,3.305,4.503,4.506,10.8,13.5,9.0
24,Bloomingdale,263,Yorkville West,2.852,3.806,3.813,9.2,11.4,7.6
41,Central Harlem,4,Alphabet City,9.207,11.127,11.032,26.5,33.1,22.1
41,Central Harlem,12,Battery Park,12.499,16.717,16.613,39.9,49.8,33.2
41,Central Harlem,13,Battery Park City,11.618,15.752,15.659,37.6,47.0,31.3
41,Central Harlem,24,Bloomingdale,1.226,1.468,1.47,3.5,4.4,2.9
41,Central Harlem,41,Central Harlem,0.0,0.0,0.0,0.0,0.0,0.0
41,Central Harlem,42,Central Harlem North,1.783,2.44,2.425,5.8,7.3,4.8
41,Central Harlem,43,Central Park,2.709,3.638,3.615,8.7,10.8,7.2
41,Central Harlem,45,Chinatown,10.943,14.181,14.081,33.8,42.2,28.2
41,Central Harlem,48,Clinton East,5.695,7.948,7.908,19.0,23.7,15.8
41,Central Harlem,50,Clinton West,5.621,7.955,7.922,19.0,23.8,15.8
41,Central Harlem,68,East Chelsea,7.443,10.339,10.285,24.7,30.9,20.6
